component,weight,log_loss,delta_from_default
elo,0.15,0.559306,-0.15
elo,0.225,0.558321,-0.075
elo,0.3,0.557452,-0.0
elo,0.375,0.5567,0.075
elo,0.45,0.556064,0.15
manual,0.06,0.559584,-0.06
manual,0.09,0.558453,-0.03
manual,0.12,0.557452,0.0
manual,0.15,0.556583,0.03
manual,0.18,0.555849,0.06
poisson,0.12,0.554638,-0.12
poisson,0.18,0.555921,-0.06
poisson,0.24,0.557452,0.0
poisson,0.3,0.55922,0.06
poisson,0.36,0.561215,0.12
xgb,0.17,0.557618,-0.17
xgb,0.255,0.55739,-0.085
xgb,0.34,0.557452,-0.0
xgb,0.425,0.557802,0.085
xgb,0.51,0.558439,0.17
