Season,n_games,log_loss,brier,ece,auc,accuracy
2015,126,0.582047,0.198798,0.071417,0.7679,0.6825
2016,126,0.568869,0.192183,0.072571,0.7898,0.746
2017,126,0.583111,0.198204,0.110134,0.7668,0.6984
2018,126,0.5494,0.183848,0.098613,0.8042,0.7222
2019,126,0.556473,0.188708,0.088742,0.7881,0.6746
2021,126,0.560409,0.191246,0.103047,0.7788,0.6984
2022,126,0.552727,0.184641,0.080349,0.7982,0.7302
2023,126,0.521073,0.170229,0.093031,0.8429,0.754
2024,126,0.552979,0.186083,0.086097,0.8091,0.7222
2025,126,0.543296,0.18344,0.136597,0.8128,0.7143
OVERALL,1260,0.557038,0.187738,0.041762,0.7905,0.7143
