# This file is generated by scripts/validate.py
# Run: python scripts/validate.py --data-dir data/ --output-dir reports/
# Format: per-season metrics from temporal walk-forward backtest
Season,n_games,log_loss,brier,ece,auc,accuracy,calibrator
2015,126,0.5820,0.1988,0.0714,0.7679,0.6825,none
2016,126,0.5689,0.1922,0.0726,0.7898,0.7460,none
2017,126,0.5831,0.1982,0.1101,0.7668,0.6984,identity
2018,126,0.5494,0.1838,0.0986,0.8042,0.7222,identity
2019,126,0.5565,0.1887,0.0887,0.7881,0.6746,identity
2021,126,0.5604,0.1912,0.1030,0.7788,0.6984,identity
2022,126,0.5527,0.1846,0.0803,0.7982,0.7302,identity
2023,126,0.5211,0.1702,0.0930,0.8429,0.7540,identity
2024,126,0.5530,0.1861,0.0861,0.8091,0.7222,identity
2025,126,0.5433,0.1834,0.1366,0.8128,0.7143,platt
OVERALL,1260,0.5571,0.1877,0.0958,0.7905,0.7143,mixed
